30000,30000,349.4148232936859,14.140635000000202,40.8961006097561,59.09451219512195
35000,35000,349.3449914455414,14.054845000000114,40.60848475609756,59.676829268292686
40000,40000,346.1960098743439,13.974506999999903,40.77942153846154,59.89230769230769
45000,45000,259.06103801727295,11.519858999999997,44.89361728395062,61.63786008230453
50000,50000,198.2717969417572,9.749324999999999,49.86587634408602,63.5
55000,55000,162.17190504074097,8.799228000000085,54.811375,64.5657894736842
60000,60000,136.5344843864441,8.07975300000021,59.8283359375,66.1875
65000,65000,117.25267887115479,7.494375000000218,64.7998090909091,67.26363636363637
70000,70000,103.5662910938263,7.140059999999949,69.75283505154638,68.82474226804123
75000,75000,91.81218147277832,6.786765999999943,74.691,69.9186046511628
80000,80000,81.17045426368713,6.367668000000094,79.33325,71.11842105263158
85000,85000,74.79170298576355,6.221512999999959,84.42578571428572,72.15714285714286
90000,90000,67.22342252731323,5.967836999999918,89.70628571428571,73.3015873015873
95000,95000,61.80586242675781,5.776980000000094,94.78451724137932,74.55172413793103
100000,100000,57.65760374069214,5.619348000000173,99.36338888888888,75.51851851851852
105000,105000,54.39987373352051,5.60828000000015,104.28345098039216,76.62745098039215
110000,110000,51.275166511535645,5.515459000000192,109.08885416666668,77.625
115000,115000,49.03968858718872,5.529788999999937,113.87082608695653,78.6086956521739
120000,120000,49.12696695327759,5.650943999999981,116.55834782608696,79.43478260869566
125000,125000,47.9857976436615,5.717840000000024,120.69322222222222,80.24444444444444
130000,130000,46.986732006073,5.77736700000014,124.64772727272727,81.11363636363636
