PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
0,30000,1740642306.5811803,33.36,62,0.031785000000127184,100.0,1.0,210,50.5859375,138.916015625
0,30000,1740642307.650523,39.446,62,0.07526000000007116,100.0,3.0,210,47.16796875,138.96484375
0,30000,1740642308.7191365,41.188,62,0.12034200000016426,100.0,3.0,210,45.60546875,139.013671875
0,30000,1740642309.7870426,41.245,62,0.16109800000003816,100.0,3.0,210,45.99609375,139.208984375
0,30000,1740642310.8562129,41.291,62,0.202303000000029,100.0,3.0,210,41.455078125,139.013671875
0,30000,1740642311.9248512,41.155,62,0.24716399999988425,100.0,3.0,210,43.505859375,139.404296875
0,30000,1740642312.993649,41.226,62,0.2917760000000271,100.0,3.0,210,44.82421875,138.330078125
0,30000,1740642314.0627174,41.23,62,0.3327839999999469,100.0,3.0,210,47.4609375,137.98828125
0,30000,1740642315.125452,41.15,62,0.3773839999998927,100.0,3.0,210,33.0078125,137.646484375
0,30000,1740642316.1895108,39.927,62,0.42110200000001896,100.0,3.0,210,34.423828125,138.818359375
0,30000,1740642317.2581224,38.885,62,0.45965899999987414,100.0,3.0,210,47.265625,138.818359375
0,30000,1740642318.3270373,41.111,62,0.5043450000000576,100.0,3.0,210,46.728515625,138.525390625
0,30000,1740642319.3956323,41.103,62,0.549342999999908,100.0,3.0,210,45.8984375,138.916015625
0,30000,1740642320.4641566,41.047,62,0.5900269999999637,100.0,3.0,210,46.337890625,139.2578125
0,30000,1740642321.5324147,41.072,62,0.6350199999999404,100.0,3.0,210,41.796875,138.671875
0,30000,1740642322.6007493,41.118,62,0.6798329999999169,100.0,3.0,210,45.361328125,139.111328125
0,30000,1740642323.6698914,41.195,61,0.720452000000023,100.0,3.0,210,44.62890625,138.96484375
0,30000,1740642324.7388604,41.136,61,0.765376999999944,100.0,3.0,210,47.802734375,138.330078125
0,30000,1740642325.807793,41.228,61,0.8100399999998444,100.0,3.0,210,42.3828125,138.916015625
0,30000,1740642326.8767097,41.162,61,0.8509169999999813,100.0,3.0,210,47.55859375,139.453125
0,30000,1740642327.9457474,41.181,61,0.8957029999999122,100.0,3.0,210,46.435546875,138.37890625
0,30000,1740642329.014015,41.146,61,0.9405930000000353,100.0,3.0,210,46.044921875,139.0625
0,30000,1740642330.0830448,41.156,61,0.9853479999999308,100.0,3.0,210,45.8984375,138.76953125
0,30000,1740642331.1447377,41.067,61,1.0263059999999768,100.0,3.0,210,35.546875,136.669921875
0,30000,1740642332.208637,40.519,61,1.070649000000003,100.0,3.0,210,39.404296875,138.818359375
0,30000,1740642333.2769907,41.126,61,1.1113780000000588,100.0,3.0,210,46.6796875,139.16015625
0,30000,1740642334.3450148,40.812,61,1.1556209999998828,100.0,3.0,210,41.455078125,138.720703125
0,30000,1740642335.4137704,40.984,61,1.2003689999999096,100.0,3.0,210,46.77734375,145.01953125
0,30000,1740642336.4826844,41.079,61,1.244946999999911,100.0,3.0,210,46.044921875,142.67578125
0,30000,1740642337.5515425,40.93,61,1.2857679999999618,100.0,3.0,210,48.095703125,141.9921875
0,30000,1740642338.6207492,40.956,61,1.3302479999999832,100.0,3.0,210,46.58203125,138.76953125
0,30000,1740642339.6897275,40.989,61,1.3751250000000255,100.0,3.0,210,50.927734375,139.0625
0,30000,1740642340.7588234,40.908,61,1.4156510000000253,100.0,3.0,210,51.708984375,138.8671875
0,30000,1740642341.8275259,40.884,61,1.460386999999855,100.0,3.0,210,47.998046875,138.96484375
0,30000,1740642342.8988132,40.969,61,1.5050029999999879,100.0,3.0,210,47.314453125,139.306640625
0,30000,1740642343.9649637,40.951,61,1.5457839999999123,100.0,3.0,210,41.943359375,138.4765625
0,30000,1740642345.0333886,40.942,60,1.5903920000000653,100.0,3.0,210,46.337890625,139.35546875
0,30000,1740642346.101795,40.998,60,1.6347829999999703,100.0,3.0,210,43.65234375,138.037109375
0,30000,1740642347.1640804,40.94,60,1.6754209999999148,100.0,3.0,210,37.353515625,136.328125
0,30000,1740642348.2264555,35.977,60,1.7143240000000333,100.0,0.0,210,36.42578125,138.8671875
0,30000,1740642349.2943075,40.738,60,1.7590139999999792,100.0,3.0,210,46.484375,138.720703125
0,30000,1740642350.3572893,43.436,60,1.802308999999923,100.0,15.0,210,33.349609375,138.818359375
0,30000,1740642351.4219916,43.389,60,1.8497489999999743,100.0,17.0,210,41.2109375,138.0859375
0,30000,1740642352.4865205,43.396,60,1.8970090000000255,100.0,15.0,210,40.4296875,139.501953125
0,30000,1740642353.552202,43.416,60,1.9399359999999888,100.0,17.0,210,40.8203125,142.529296875
0,30000,1740642354.6172729,43.318,60,1.9866170000000238,100.0,15.0,210,35.986328125,141.943359375
0,30000,1740642355.6818523,43.17,60,2.034008999999969,100.0,15.0,210,40.185546875,140.185546875
0,30000,1740642356.7454464,43.344,60,2.0769470000000183,100.0,15.0,210,39.35546875,140.8203125
0,30000,1740642357.8080554,43.374,60,2.124121000000059,100.0,17.0,210,36.767578125,139.6484375
0,30000,1740642358.8711004,43.46,60,2.1669379999998455,100.0,17.0,210,33.642578125,140.869140625
0,30000,1740642359.933972,43.397,60,2.21029899999985,100.0,15.0,210,33.69140625,139.990234375
0,30000,1740642360.9986446,43.401,60,2.2577269999999316,100.0,16.0,210,41.259765625,141.9921875
0,30000,1740642362.06176,43.266,60,2.3006799999998293,100.0,15.0,210,38.525390625,141.11328125
0,30000,1740642363.123047,43.235,60,2.347815999999966,100.0,17.0,210,35.9375,139.6484375
0,30000,1740642364.1836116,43.184,60,2.3948749999999563,100.0,15.0,210,32.12890625,141.259765625
