PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
0,30000,1740628796.5087116,36.05,61,0.03586100000006809,100.0,3.0,210,43.84765625,138.57421875
0,30000,1740628797.5757208,39.747,61,0.07961699999987104,100.0,4.0,210,43.701171875,138.525390625
0,30000,1740628798.642278,41.48,61,0.12456399999996393,100.0,4.0,210,39.2578125,139.111328125
0,30000,1740628799.7089114,41.474,61,0.16579699999988406,100.0,4.0,210,43.75,139.208984375
0,30000,1740628800.7801611,41.102,61,0.21051999999986037,100.0,3.0,210,47.607421875,141.6015625
0,30000,1740628801.8434439,41.419,61,0.255867999999964,100.0,4.0,210,34.326171875,138.4765625
0,30000,1740628802.906532,41.051,61,0.2965990000000147,100.0,3.0,210,41.2109375,139.0625
0,30000,1740628803.9741797,38.459,61,0.3384409999998752,100.0,0.0,210,41.9921875,138.28125
0,30000,1740628805.0370452,41.16,61,0.3829799999998613,100.0,4.0,210,38.330078125,136.767578125
0,30000,1740628806.106666,39.943,61,0.4225810000000365,100.0,4.0,210,43.1640625,138.623046875
0,30000,1740628807.173538,41.288,61,0.4675379999998768,100.0,4.0,210,43.017578125,138.720703125
0,30000,1740628808.2374153,41.326,61,0.5122529999998733,100.0,4.0,210,39.74609375,139.111328125
0,30000,1740628809.3090577,41.019,61,0.5529989999999998,100.0,4.0,210,47.94921875,154.1015625
0,30000,1740628810.3738835,41.277,61,0.5977239999999711,100.0,4.0,210,35.888671875,138.4765625
0,30000,1740628811.4375298,41.241,61,0.6429149999999026,100.0,4.0,210,36.328125,138.330078125
0,30000,1740628812.5061262,41.246,61,0.6838479999998981,100.0,4.0,210,43.45703125,138.818359375
0,30000,1740628813.571132,41.288,61,0.7287300000000414,100.0,4.0,210,41.064453125,139.111328125
0,30000,1740628814.6355855,41.244,61,0.7733709999999974,100.0,4.0,210,40.52734375,139.0625
0,30000,1740628815.704039,41.217,61,0.8143089999998665,100.0,4.0,210,43.45703125,138.8671875
0,30000,1740628816.7611601,40.219,60,0.8574510000000828,100.0,2.0,210,42.67578125,98.73046875
0,30000,1740628817.8255496,40.467,60,0.8980589999998756,100.0,4.0,210,39.84375,148.193359375
0,30000,1740628818.8940313,41.201,60,0.9427209999998922,100.0,4.0,210,34.814453125,138.720703125
0,30000,1740628819.9538467,41.188,60,0.9878459999999905,100.0,4.0,210,32.12890625,138.671875
0,30000,1740628821.0181553,41.197,60,1.0288120000000163,100.0,4.0,210,42.529296875,138.330078125
0,30000,1740628822.0844674,39.878,60,1.0722020000000612,100.0,4.0,210,42.236328125,138.0859375
0,30000,1740628823.1517878,41.173,60,1.1168330000000424,100.0,4.0,210,36.279296875,138.57421875
0,30000,1740628824.2187762,41.208,60,1.1578339999998661,100.0,4.0,210,42.236328125,138.0859375
0,30000,1740628825.2778792,41.229,60,1.2027639999998883,100.0,4.0,210,43.06640625,104.345703125
0,30000,1740628826.3427095,41.244,60,1.2477039999998851,100.0,4.0,210,40.33203125,138.37890625
0,30000,1740628827.4054885,41.144,60,1.2882709999998951,100.0,4.0,210,39.35546875,139.111328125
0,30000,1740628828.4683535,41.102,60,1.3326540000000477,100.0,4.0,210,32.03125,139.0625
0,30000,1740628829.535636,41.21,60,1.3777949999998782,100.0,4.0,210,39.599609375,138.57421875
0,30000,1740628830.6005788,41.15,60,1.41858000000002,100.0,4.0,210,41.259765625,139.111328125
0,30000,1740628831.6693861,41.144,60,1.463269000000082,100.0,4.0,210,42.041015625,138.720703125
0,30000,1740628832.7335901,41.143,60,1.508333999999877,100.0,4.0,210,38.8671875,139.111328125
0,30000,1740628833.792763,41.049,60,1.5490520000000743,100.0,4.0,210,48.681640625,100.830078125
0,30000,1740628834.856544,41.031,60,1.593791999999894,100.0,4.0,210,40.478515625,139.013671875
0,30000,1740628835.9234443,40.983,60,1.6342759999999998,100.0,4.0,210,41.2109375,138.818359375
0,30000,1740628836.9843898,41.043,60,1.6752380000000358,100.0,4.0,210,33.740234375,138.525390625
0,30000,1740628838.0504773,39.855,60,1.7188850000000002,100.0,4.0,210,36.9140625,138.134765625
0,30000,1740628839.114433,41.142,60,1.7597330000000966,100.0,4.0,210,42.08984375,138.57421875
0,30000,1740628840.1806645,41.853,60,1.805360999999948,100.0,4.0,210,42.3828125,138.8671875
0,30000,1740628841.2490892,42.117,60,1.850926999999956,100.0,4.0,210,41.748046875,138.96484375
0,30000,1740628842.308291,42.175,60,1.8928189999999177,100.0,4.0,210,33.30078125,141.89453125
0,30000,1740628843.3720298,42.106,60,1.9387469999999212,100.0,4.0,210,38.525390625,139.16015625
0,30000,1740628844.438411,42.056,60,1.9845430000000306,100.0,4.0,210,39.84375,138.28125
0,30000,1740628845.5014496,42.14,60,2.0260260000000017,100.0,4.0,210,40.234375,138.525390625
0,30000,1740628846.580122,40.3,60,2.0700070000000323,100.0,1.0,210,56.54296875,138.720703125
0,30000,1740628847.6479306,41.093,60,2.1144939999999224,100.0,4.0,210,43.017578125,138.330078125
0,30000,1740628848.7109437,41.034,59,2.1552080000001297,100.0,4.0,210,41.259765625,139.0625
