PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
115000,1741715666.3181605,85.799,73,7.307617000000164,89.0,35.0,1965,44.921875,153.759765625
115000,1741715668.3859255,82.618,77,7.474846000000298,69.0,24.0,2280,44.23828125,3451.611328125
115000,1741715670.45483,85.723,74,7.65109200000029,98.0,39.0,2355,3288.037109375,26.220703125
115000,1741715672.5239286,82.348,77,7.827462000000196,72.0,28.999999999999996,2145,44.384765625,154.638671875
115000,1741715674.5875752,84.366,76,7.996008000000302,89.0,34.0,2355,770.458984375,9393.75
115000,1741715676.657814,84.754,73,8.168105000000196,81.0,31.0,1995,10506.005859375,134.619140625
115000,1741715678.7265856,83.079,77,8.345974000000297,62.0,34.0,2190,44.53125,157.2265625
115000,1741715680.7923694,85.856,74,8.520085000000336,91.0,35.0,2355,369.43359375,84.912109375
115000,1741715682.8530693,81.727,76,8.68529400000034,72.0,37.0,1965,41.162109375,115.087890625
115000,1741715684.9222028,82.938,77,8.865064000000302,51.0,28.999999999999996,2205,195.556640625,159.5703125
115000,1741715686.9884903,85.201,74,9.037995000000137,85.0,33.0,2355,65.52734375,36.1328125
115000,1741715689.0591702,82.522,77,9.204233000000158,69.0,37.0,2100,43.9453125,154.58984375
115000,1741715691.1243944,82.896,78,9.38610500000027,42.0,24.0,2355,349.072265625,9252.9296875
115000,1741715693.184283,80.219,75,9.543748000000278,64.0,21.0,2355,7430.46875,23.33984375
115000,1741715695.246588,77.449,74,9.71140400000013,50.0,14.000000000000002,2355,7798.779296875,59.765625
115000,1741715697.3265376,81.383,74,9.874948000000131,56.00000000000001,17.0,1980,7873.388671875,152.1484375
115000,1741715699.387399,79.544,75,10.043340000000171,52.0,16.0,1980,193.896484375,147.94921875
115000,1741715701.5004952,78.509,77,10.20740700000033,68.0,23.0,2355,6960.595703125,27.978515625
115000,1741715703.5763214,81.991,74,10.368614000000207,67.0,22.0,2355,12349.21875,63.57421875
115000,1741715705.6380758,79.39,73,10.5328420000003,57.99999999999999,18.0,2040,7162.3046875,113.57421875
115000,1741715707.7120652,81.466,76,10.701974000000291,49.0,14.000000000000002,2175,59.033203125,90.869140625
115000,1741715709.7795253,78.406,77,10.858765000000176,55.00000000000001,17.0,2355,2043.65234375,29.833984375
115000,1741715711.8459964,84.642,73,11.03224900000032,75.0,28.999999999999996,1980,4664.6484375,155.322265625
115000,1741715713.9153724,83.041,77,11.211301000000276,56.00000000000001,31.0,2175,46.484375,155.859375
115000,1741715716.0186603,82.474,77,11.382632000000285,85.0,32.0,2355,1101.26953125,2213.232421875
115000,1741715718.090204,85.313,73,11.555944000000181,85.0,33.0,1980,50.146484375,152.001953125
115000,1741715720.1548474,82.279,77,11.723176000000194,73.0,26.0,2205,41.89453125,164.16015625
115000,1741715722.2222672,84.861,74,11.89889200000016,92.0,36.0,2355,389.501953125,81.54296875
115000,1741715724.2993844,84.755,73,12.072380000000294,86.0,33.0,1995,76.904296875,157.177734375
115000,1741715726.3713179,82.57,77,12.241437000000133,69.0,26.0,2190,46.38671875,1997.8515625
115000,1741715728.4417694,85.224,74,12.416682000000264,93.0,36.0,2355,490.185546875,24.169921875
115000,1741715730.5089836,83.746,77,12.592948000000206,78.0,30.0,2085,47.36328125,154.98046875
115000,1741715732.5747886,83.041,78,12.769299000000274,80.0,30.0,2355,625.1953125,9339.35546875
115000,1741715734.6371424,86.012,73,12.935763000000179,91.0,35.0,2355,6857.51953125,26.416015625
115000,1741715736.707834,81.974,77,13.112444000000323,72.0,37.0,2175,49.8046875,156.73828125
115000,1741715738.780821,85.36,75,13.288038000000142,95.0,37.0,2355,1159.130859375,3263.916015625
115000,1741715740.8496778,83.856,73,13.453672000000324,78.0,30.0,1980,4092.236328125,153.61328125
115000,1741715742.9184575,83.224,77,13.630797000000257,61.0,34.0,2190,42.431640625,154.4921875
115000,1741715744.9831882,85.886,74,13.805783000000247,93.0,36.0,2355,87.3046875,59.619140625
115000,1741715747.0590692,81.819,76,13.971105000000307,72.0,34.0,2055,52.44140625,154.6875
115000,1741715749.1212964,83.171,78,14.151874000000134,51.0,28.000000000000004,2355,39.306640625,8443.212890625
115000,1741715751.1897957,85.249,74,14.324686000000156,82.0,32.0,2355,6678.271484375,26.708984375
115000,1741715753.2542124,82.727,77,14.490867000000208,67.0,37.0,2145,36.5234375,155.46875
115000,1741715755.324544,82.946,78,14.672773000000234,41.0,24.0,2355,945.361328125,9496.728515625
