PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
0,30000,1740633836.1473198,35.364,62,0.03655499999990752,100.0,17.0,210,37.646484375,142.578125
0,30000,1740633837.2187805,43.037,62,0.07880199999999604,100.0,15.0,210,52.392578125,139.501953125
0,30000,1740633838.279851,43.82,62,0.1262859999999364,100.0,15.0,210,44.970703125,88.76953125
0,30000,1740633839.343405,43.814,62,0.173799999999801,100.0,15.0,210,33.251953125,150.830078125
0,30000,1740633840.4063365,43.851,62,0.21734199999991688,100.0,17.0,210,35.986328125,139.697265625
0,30000,1740633841.4723096,43.644,62,0.2650099999998474,100.0,15.0,210,36.474609375,139.16015625
0,30000,1740633842.5351562,43.552,62,0.3082489999999325,100.0,16.0,210,37.890625,141.552734375
0,30000,1740633843.5966563,43.766,62,0.3558739999998579,100.0,15.0,210,38.28125,140.91796875
0,30000,1740633844.6648223,43.845,62,0.403184999999894,100.0,17.0,210,34.814453125,139.892578125
0,30000,1740633845.7236307,43.666,62,0.44653999999991356,100.0,17.0,210,33.740234375,141.259765625
0,30000,1740633846.7790668,43.569,61,0.49432499999988977,100.0,15.0,210,36.5234375,98.53515625
0,30000,1740633847.8446581,43.634,61,0.5415279999999711,100.0,15.0,210,40.185546875,139.404296875
0,30000,1740633848.9073029,43.613,61,0.5848539999999502,100.0,15.0,210,40.966796875,142.1875
0,30000,1740633849.9707649,43.668,61,0.632472000000007,100.0,17.0,210,37.109375,141.89453125
0,30000,1740633851.0351207,43.501,61,0.6754339999999956,100.0,15.0,210,36.572265625,140.673828125
0,30000,1740633852.1013718,43.484,61,0.722622999999885,100.0,17.0,210,38.18359375,139.599609375
0,30000,1740633853.1617043,43.548,61,0.7702519999998003,100.0,14.000000000000002,210,32.568359375,139.794921875
0,30000,1740633854.2241538,43.541,61,0.8136279999998806,100.0,17.0,210,39.84375,141.162109375
0,30000,1740633855.280914,43.48,61,0.8610089999999673,100.0,15.0,210,35.25390625,97.705078125
0,30000,1740633856.342923,43.382,61,0.9086989999998423,100.0,16.0,210,39.208984375,140.966796875
0,30000,1740633857.406769,43.386,61,0.9518769999999677,100.0,16.0,210,38.671875,139.599609375
0,30000,1740633858.4733267,45.931,61,1.001798000000008,100.0,28.000000000000004,210,41.943359375,137.646484375
0,30000,1740633859.5382705,46.833,61,1.052880999999843,100.0,15.0,210,36.62109375,133.10546875
0,30000,1740633860.6032424,46.971,61,1.1000219999998535,100.0,16.0,210,38.76953125,138.37890625
0,30000,1740633861.6658072,46.847,61,1.1518469999998615,100.0,17.0,210,36.62109375,130.17578125
0,30000,1740633862.7293627,47.456,61,1.1982869999999366,100.0,30.0,210,35.986328125,140.4296875
0,30000,1740633863.7989686,47.337,61,1.2485849999998209,100.0,28.000000000000004,210,34.765625,145.21484375
0,30000,1740633864.8612046,46.455,61,1.298808999999892,100.0,28.999999999999996,210,37.060546875,136.9140625
0,30000,1740633865.9278514,46.344,61,1.3453599999998005,100.0,16.0,210,39.84375,142.28515625
0,30000,1740633866.9770358,46.71,61,1.3965769999999793,100.0,16.0,210,32.6171875,94.091796875
0,30000,1740633868.0444183,46.635,61,1.4481819999998606,100.0,17.0,210,55.56640625,99.853515625
0,30000,1740633869.1115184,47.31,61,1.4944029999999202,100.0,30.0,210,46.6796875,120.068359375
0,30000,1740633870.1764832,47.002,61,1.544593999999961,100.0,27.0,210,44.873046875,107.568359375
0,30000,1740633871.244986,46.253,61,1.594765999999936,100.0,28.999999999999996,210,47.65625,117.529296875
0,30000,1740633872.315331,46.267,61,1.6411099999997987,100.0,16.0,210,47.36328125,133.154296875
0,30000,1740633873.3754826,46.414,61,1.6922969999998259,100.0,17.0,210,35.693359375,140.576171875
0,30000,1740633874.4417305,46.514,61,1.743878999999879,100.0,18.0,210,41.69921875,137.109375
0,30000,1740633875.515011,47.274,61,1.789892000000009,100.0,28.999999999999996,210,43.65234375,137.79296875
0,30000,1740633876.57438,47.018,61,1.840061999999989,100.0,28.999999999999996,210,34.9609375,135.25390625
0,30000,1740633877.6275105,46.089,60,1.8862149999999929,100.0,28.999999999999996,210,32.421875,95.947265625
0,30000,1740633878.6910696,46.377,61,1.9332620000000134,100.0,16.0,210,36.1328125,135.400390625
