PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
17.0,115000,1740633635.379748,111.375,77,3.020618000000013,100.0,94.0,2070,39.794921875,152.001953125
17.0,115000,1740633636.4466057,112.032,78,3.142876000000115,100.0,96.0,2100,33.203125,160.791015625
17.0,115000,1740633637.5129447,111.472,78,3.2648280000000796,100.0,96.0,2100,42.333984375,137.646484375
17.0,115000,1740633638.5788338,111.849,78,3.3755109999999604,100.0,97.0,2100,34.326171875,135.302734375
17.0,115000,1740633639.645555,111.974,78,3.4981290000000627,100.0,97.0,2115,38.28125,136.083984375
17.0,115000,1740633640.7138422,110.452,79,3.618064000000004,92.0,84.0,2145,42.529296875,146.044921875
17.0,115000,1740633641.7841449,111.889,78,3.729070000000093,100.0,97.0,2190,32.568359375,163.916015625
17.0,115000,1740633642.8464603,111.476,79,3.851710000000139,100.0,96.0,2070,41.015625,138.57421875
17.0,115000,1740633643.9103742,111.989,78,3.973514000000023,100.0,95.0,2130,39.55078125,136.669921875
17.0,115000,1740633644.977419,111.437,78,4.0840220000000045,100.0,95.0,2130,37.060546875,136.279296875
17.0,115000,1740633646.043994,111.055,78,4.20592600000009,99.0,93.0,1935,38.76953125,138.18359375
17.0,115000,1740633647.1110432,111.841,78,4.327541999999994,100.0,96.0,2235,44.3359375,141.69921875
17.0,115000,1740633648.1766937,112.231,78,4.4389830000000075,100.0,97.0,2250,35.498046875,143.1640625
17.0,115000,1740633649.2424204,111.413,79,4.561081999999942,100.0,95.0,2100,37.255859375,141.40625
17.0,115000,1740633650.313775,111.672,78,4.682949000000008,100.0,95.0,2115,55.37109375,159.912109375
11.0,85000,1740636553.1429777,69.99,69,0.0719209999999748,100.0,68.0,1530,54.78515625,152.44140625
11.0,85000,1740636554.2113705,85.159,69,0.1557239999999637,100.0,66.0,1290,49.951171875,154.931640625
11.0,85000,1740636555.2690086,85.073,69,0.2486030000000028,100.0,68.0,1275,35.15625,114.208984375
11.0,85000,1740636556.3470588,84.853,69,0.3402609999998276,100.0,66.0,1215,59.912109375,153.173828125
11.0,85000,1740636557.4132257,84.665,70,0.4236570000000483,100.0,63.0,1290,37.40234375,153.7109375
11.0,85000,1740636558.4765737,84.506,69,0.5157179999998789,100.0,84.0,1335,33.203125,137.841796875
11.0,85000,1740636559.545542,84.467,70,0.6079999999999472,100.0,86.0,1440,43.1640625,138.96484375
11.0,85000,1740636560.6072035,84.507,69,0.6914070000000265,100.0,88.0,1650,36.81640625,141.943359375
11.0,85000,1740636561.6754794,84.343,70,0.7823300000000017,100.0,85.0,1560,33.984375,140.72265625
11.0,85000,1740636562.7407436,84.487,70,0.874225000000024,100.0,88.0,1545,39.794921875,138.671875
11.0,85000,1740636563.800737,84.321,70,0.9573949999999058,100.0,88.0,1605,45.263671875,102.978515625
11.0,85000,1740636564.8640356,84.814,70,1.0497709999999645,100.0,62.0,1470,42.919921875,154.00390625
11.0,85000,1740636565.9437318,84.921,71,1.141986999999972,100.0,62.0,1335,60.302734375,152.783203125
11.0,85000,1740636567.020784,85.082,70,1.2254060000000209,100.0,64.0,1410,56.34765625,153.759765625
11.0,85000,1740636568.093415,84.971,71,1.3175770000000284,100.0,65.0,1365,41.796875,153.271484375
11.0,85000,1740636569.1543412,85.0,71,1.410415999999941,100.0,64.0,1350,40.576171875,170.5078125
11.0,85000,1740636570.2212112,84.509,71,1.5026809999999386,100.0,87.0,1200,42.236328125,135.986328125
11.0,85000,1740636571.2856128,84.576,70,1.5867849999999637,100.0,91.0,1515,33.935546875,127.1484375
11.0,85000,1740636572.349049,84.355,70,1.6782779999998638,100.0,85.0,1530,36.083984375,138.28125
11.0,85000,1740636573.412453,84.291,70,1.7618519999998623,100.0,86.0,1515,35.7421875,138.18359375
11.0,85000,1740636574.475375,84.444,71,1.8539839999998549,100.0,87.0,1455,37.98828125,137.79296875
11.0,85000,1740636575.536161,84.551,71,1.9460589999998776,100.0,89.0,1365,37.6953125,153.515625
11.0,85000,1740636576.6037714,85.288,71,2.0298549999999977,100.0,66.0,1395,47.119140625,155.078125
11.0,85000,1740636577.668373,85.03,72,2.1228830000000016,100.0,66.0,1380,34.033203125,155.029296875
